spinaxis,tilt
0,6:00
1,6:00
2,6:00
3,6:00
4,6:00
5,6:15
6,6:15
7,6:15
8,6:15
9,6:15
10,6:15
11,6:15
12,6:30
13,6:30
14,6:30
15,6:30
16,6:30
17,6:30
18,6:30
19,6:45
20,6:45
21,6:45
22,6:45
23,6:45
24,6:45
25,6:45
26,6:45
27,7:00
28,7:00
29,7:00
30,7:00
31,7:00
32,7:00
33,7:00
34,7:00
35,7:15
36,7:15
37,7:15
38,7:15
39,7:15
40,7:15
41,7:15
42,7:30
43,7:30
44,7:30
45,7:30
46,7:30
47,7:30
48,7:30
49,7:45
50,7:45
51,7:45
52,7:45
53,7:45
54,7:45
55,7:45
56,8:00
57,8:00
58,8:00
59,8:00
60,8:00
61,8:00
62,8:00
63,8:00
64,8:15
65,8:15
66,8:15
67,8:15
68,8:15
69,8:15
70,8:15
71,8:15
72,8:30
73,8:30
74,8:30
75,8:30
76,8:30
77,8:30
78,8:30
79,8:30
80,8:45
81,8:45
82,8:45
83,8:45
84,8:45
85,8:45
86,8:45
87,9:00
88,9:00
89,9:00
90,9:00
91,9:00
92,9:00
93,9:00
94,9:15
95,9:15
96,9:15
97,9:15
98,9:15
99,9:15
100,9:15
101,9:15
102,9:30
103,9:30
104,9:30
105,9:30
106,9:30
107,9:30
108,9:30
109,9:45
110,9:45
111,9:45
112,9:45
113,9:45
114,9:45
115,9:45
116,9:45
117,10:00
118,10:00
119,10:00
120,10:00
121,10:00
122,10:00
123,10:00
124,10:00
125,10:15
126,10:15
127,10:15
128,10:15
129,10:15
130,10:15
131,10:15
132,10:30
133,10:30
134,10:30
135,10:30
136,10:30
137,10:30
138,10:30
139,10:45
140,10:45
141,10:45
142,10:45
143,10:45
144,10:45
145,10:45
146,10:45
147,11:00
148,11:00
149,11:00
150,11:00
151,11:00
152,11:00
153,11:00
154,11:00
155,11:15
156,11:15
157,11:15
158,11:15
159,11:15
160,11:15
161,11:15
162,11:30
163,11:30
164,11:30
165,11:30
166,11:30
167,11:30
168,11:30
169,11:45
170,11:45
171,11:45
172,11:45
173,11:45
174,11:45
175,11:45
176,12:00
177,12:00
178,12:00
179,12:00
180,12:00
181,12:00
182,12:00
183,12:00
184,12:15
185,12:15
186,12:15
187,12:15
188,12:15
189,12:15
190,12:15
191,12:30
192,12:30
193,12:30
194,12:30
195,12:30
196,12:30
197,12:30
198,12:30
199,12:45
200,12:45
201,12:45
202,12:45
203,12:45
204,12:45
205,12:45
206,12:45
207,1:00
208,1:00
209,1:00
210,1:00
211,1:00
212,1:00
213,1:00
214,1:15
215,1:15
216,1:15
217,1:15
218,1:15
219,1:15
220,1:15
221,1:15
222,1:30
223,1:30
224,1:30
225,1:30
226,1:30
227,1:30
228,1:30
229,1:45
230,1:45
231,1:45
232,1:45
233,1:45
234,1:45
235,1:45
236,1:45
237,2:00
238,2:00
239,2:00
240,2:00
241,2:00
242,2:00
243,2:00
244,2:15
245,2:15
246,2:15
247,2:15
248,2:15
249,2:15
250,2:15
251,2:30
252,2:30
253,2:30
254,2:30
255,2:30
256,2:30
257,2:30
258,2:30
259,2:45
260,2:45
261,2:45
262,2:45
263,2:45
264,2:45
265,2:45
266,2:45
267,3:00
268,3:00
269,3:00
270,3:00
271,3:00
272,3:00
273,3:00
274,3:00
275,3:15
276,3:15
277,3:15
278,3:15
279,3:15
280,3:15
281,3:15
282,3:30
283,3:30
284,3:30
285,3:30
286,3:30
287,3:30
288,3:30
289,3:30
290,3:45
291,3:45
292,3:45
293,3:45
294,3:45
295,3:45
296,3:45
297,4:00
298,4:00
299,4:00
300,4:00
301,4:00
302,4:00
303,4:00
304,4:15
305,4:15
306,4:15
307,4:15
308,4:15
309,4:15
310,4:15
311,4:15
312,4:30
313,4:30
314,4:30
315,4:30
316,4:30
317,4:30
318,4:30
319,4:45
320,4:45
321,4:45
322,4:45
323,4:45
324,4:45
325,4:45
326,5:00
327,5:00
328,5:00
329,5:00
330,5:00
331,5:00
332,5:00
333,5:00
334,5:00
335,5:15
336,5:15
337,5:15
338,5:15
339,5:15
340,5:15
341,5:30
342,5:30
343,5:30
344,5:30
345,5:30
346,5:30
347,5:30
348,5:30
349,5:45
350,5:45
351,5:45
352,5:45
353,5:45
354,5:45
355,5:45
356,5:45
357,6:00
358,6:00
359,6:00
360,6:00
